Channel,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
2,12669,9656,7561,214,2674,1338
2,7057,9810,9568,1762,3293,1776
2,6353,8808,7684,2405,3516,7844
1,13265,1196,4221,6404,507,1788
2,22615,5410,7198,3915,1777,5185
2,9413,8259,5126,666,1795,1451
2,12126,3199,6975,480,3140,545
2,7579,4956,9426,1669,3321,2566
1,5963,3648,6192,425,1716,750
2,6006,11093,18881,1159,7425,2098
2,3366,5403,12974,4400,5977,1744
2,13146,1124,4523,1420,549,497
1,10253,1114,3821,397,964,412
2,1020,8816,12121,134,4508,1080
1,5876,6157,2933,839,370,4478
2,18601,6327,10099,2205,2767,3181
1,7780,2495,9464,669,2518,501
2,17546,4519,4602,1066,2259,2124
1,5567,871,2010,3383,375,569
1,31276,1917,4469,9408,2381,4334
2,26373,36423,22019,5154,4337,16523
2,22647,9776,13792,2915,4482,5778
2,16165,4230,7595,201,4003,57
1,9898,961,2861,3151,242,833
1,14276,803,3045,485,100,518
2,4113,20484,25957,1158,8604,5206
1,43088,2100,2609,1200,1107,823
1,18815,3610,11107,1148,2134,2963
1,2612,4339,3133,2088,820,985
1,21632,1318,2886,266,918,405
1,29729,4786,7326,6130,361,1083
1,1502,1979,2262,425,483,395
2,491,10473,11532,744,5611,224
1,27329,1449,1947,2436,204,1333
1,5264,3683,5005,1057,2024,1130
2,4098,29892,26866,2616,17740,1340
2,5417,9933,10487,38,7572,1282
1,13779,1970,1648,596,227,436
1,6137,5360,8040,129,3084,1603
2,8590,3045,7854,96,4095,225
2,35942,38369,59598,3254,26701,2017
2,7823,6245,6544,4154,4074,964
2,9396,11601,15775,2896,7677,1295
1,4760,1227,3250,3724,1247,1145
2,85,20959,45828,36,24231,1423
1,9,1534,7417,175,3468,27
1,1640,3259,3655,868,1202,1653
1,7005,829,3009,430,610,529
2,219,9540,14403,283,7818,156
2,10362,9232,11009,737,3537,2342
1,20874,1563,1783,2320,550,772
2,11867,3327,4814,1178,3837,120
2,16117,46197,92780,1026,40827,2944
2,22925,73498,32114,987,20070,903
1,43265,5025,8117,6312,1579,14351
1,7864,542,4042,9735,165,46
1,24904,3836,5330,3443,454,3178
1,11405,596,1638,3347,69,360
1,12754,2762,2530,8693,627,1117
2,9198,27472,32034,3232,18906,5130
1,11314,3090,2062,35009,71,2698
2,5626,12220,11323,206,5038,244
1,3,2920,6252,440,223,709
2,23,2616,8118,145,3874,217
1,403,254,610,774,54,63
1,503,112,778,895,56,132
